Chrono;Time;MIDS Status;DLIP Saturation;TDH079;retard (ms)
87.70;00:01:27.700;;;;10
87.70;00:01:27.700;;;;11
87.76;00:01:27.760;;;;44
87.76;00:01:27.760;;;;43
87.82;00:01:27.820;;;;101
87.82;00:01:27.820;;;;81
87.84;00:01:27.840;;;;98
88.32;00:01:28.320;;;;11
88.32;00:01:28.320;;;;11
88.37;00:01:28.370;;;;58
88.37;00:01:28.370;;;;59
88.42;00:01:28.420;;;;107
88.42;00:01:28.420;;;;107
88.44;00:01:28.440;;;;126
88.49;00:01:28.490;;;;68
88.49;00:01:28.490;;;;66
88.54;00:01:28.540;;;;114
88.96;00:01:28.960;;;;9
88.98;00:01:28.980;;;;29
88.98;00:01:28.980;;;;29
89.01;00:01:29.010;;;;57
89.06;00:01:29.060;;;;106
89.09;00:01:29.090;;;;135
89.12;00:01:29.120;;;;164
89.15;00:01:29.150;;;;194
89.18;00:01:29.180;;;;223
89.20;00:01:29.200;;;;243
89.23;00:01:29.230;;;;273
89.25;00:01:29.250;;;;293
89.25;00:01:29.250;;;;291
89.28;00:01:29.280;;;;318
89.33;00:01:29.330;;;;367
89.35;00:01:29.350;;;;386
89.38;00:01:29.380;;;;415
89.41;00:01:29.410;;;;444
89.44;00:01:29.440;;;;473
89.47;00:01:29.470;;;;503
89.50;00:01:29.500;;;;532
89.53;00:01:29.530;;;;562
89.55;00:01:29.550;;;;581
89.55;00:01:29.550;;;;581
89.58;00:01:29.580;;;;366
89.61;00:01:29.610;;;;390
89.61;00:01:29.610;;;;390
89.69;00:01:29.690;;;;465
89.71;00:01:29.710;;;;130
89.73;00:01:29.730;;;;150
89.73;00:01:29.730;;;;150
89.76;00:01:29.760;;;;179
89.81;00:01:29.810;;;;228
89.84;00:01:29.840;;;;256
89.86;00:01:29.860;;;;275
89.88;00:01:29.880;;;;295
89.91;00:01:29.910;;;;324
89.91;00:01:29.910;;;;322
89.94;00:01:29.940;;;;351
90.00;00:01:30.000;;;;410
90.02;00:01:30.020;;;;429
90.02;00:01:30.020;;;;430
90.04;00:01:30.040;;;;448
90.10;00:01:30.100;;;;508
90.13;00:01:30.130;;;;537
90.16;00:01:30.160;;;;566
90.16;00:01:30.160;;;;566
90.22;00:01:30.220;;;;625
90.22;00:01:30.220;;;;625
90.26;00:01:30.260;;;;664
90.26;00:01:30.260;;;;664
90.29;00:01:30.290;;;;692
90.29;00:01:30.290;;;;692
90.38;00:01:30.380;;;;780
90.38;00:01:30.380;;;;781
90.41;00:01:30.410;;;;809
90.41;00:01:30.410;;;;809
90.49;00:01:30.490;;;;887
90.49;00:01:30.490;;;;887
90.55;00:01:30.550;;;;946
90.55;00:01:30.550;;;;946
90.60;00:01:30.600;;;;994
90.60;00:01:30.600;;;;991
90.62;00:01:30.620;;;;1010
90.62;00:01:30.620;;;;1010
90.70;00:01:30.700;;;;1088
90.70;00:01:30.700;;;;1086
90.75;00:01:30.750;;;;1134
90.75;00:01:30.750;;;;1134
90.80;00:01:30.800;;;;1182
90.80;00:01:30.800;;;;1182
90.83;00:01:30.830;;;;1211
90.83;00:01:30.830;;;;1211
90.91;00:01:30.910;;;;828
90.91;00:01:30.910;;;;740
90.96;00:01:30.960;;;;788
90.96;00:01:30.960;;;;789
90.98;00:01:30.980;;;;780
90.98;00:01:30.980;;;;780
91.06;00:01:31.060;;;;858
91.06;00:01:31.060;;;;857
91.12;00:01:31.120;;;;915
91.12;00:01:31.120;;;;916
91.18;00:01:31.180;;;;974
91.18;00:01:31.180;;;;974
92.69;00:01:32.690;;;;18
93.35;00:01:33.350;;;;26
93.97;00:01:33.970;;;;9
94.02;00:01:34.020;;;;29
94.05;00:01:34.050;;;;28
94.70;00:01:34.700;;;;19
94.73;00:01:34.730;;;;19
94.79;00:01:34.790;;;;29
95.21;00:01:35.210;;;;12
95.24;00:01:35.240;;;;18
98.35;00:01:38.350;;;;27
98.97;00:01:38.970;;;;16
99.03;00:01:39.030;;;;30
99.06;00:01:39.060;;;;28
99.06;00:01:39.060;;;;29
99.63;00:01:39.630;;;;10
99.71;00:01:39.710;;;;30
99.71;00:01:39.710;;;;10
99.73;00:01:39.730;;;;17
99.79;00:01:39.790;;;;49
99.79;00:01:39.790;;;;31
99.84;00:01:39.840;;;;79
100.22;00:01:40.220;;;;16
100.25;00:01:40.250;;;;19
100.25;00:01:40.250;;;;20
100.35;00:01:40.350;;;;29
100.35;00:01:40.350;;;;28
100.40;00:01:40.400;;;;29
100.46;00:01:40.460;;;;40
100.52;00:01:40.520;;;;80
100.52;00:01:40.520;;;;31
100.58;00:01:40.580;;;;88
100.58;00:01:40.580;;;;40
100.98;00:01:40.980;;;;20
101.01;00:01:41.010;;;;29
101.01;00:01:41.010;;;;29
101.03;00:01:41.030;;;;20
101.08;00:01:41.080;;;;19
101.11;00:01:41.110;;;;20
101.13;00:01:41.130;;;;10
101.16;00:01:41.160;;;;10
101.23;00:01:41.230;;;;49
101.23;00:01:41.230;;;;30
101.26;00:01:41.260;;;;28
101.28;00:01:41.280;;;;28
101.28;00:01:41.280;;;;28
101.30;00:01:41.300;;;;19
101.35;00:01:41.350;;;;20
101.40;00:01:41.400;;;;20
101.43;00:01:41.430;;;;20
101.46;00:01:41.460;;;;20
101.49;00:01:41.490;;;;20
101.54;00:01:41.540;;;;10
101.57;00:01:41.570;;;;19
101.57;00:01:41.570;;;;19
101.60;00:01:41.600;;;;12
101.63;00:01:41.630;;;;16
101.74;00:01:41.740;;;;49
101.74;00:01:41.740;;;;30
101.77;00:01:41.770;;;;39
101.81;00:01:41.810;;;;78
101.81;00:01:41.810;;;;50
101.84;00:01:41.840;;;;29
101.86;00:01:41.860;;;;20
101.88;00:01:41.880;;;;20
101.91;00:01:41.910;;;;29
101.94;00:01:41.940;;;;30
101.94;00:01:41.940;;;;30
102.03;00:01:42.030;;;;30
102.06;00:01:42.060;;;;40
102.11;00:01:42.110;;;;70
102.14;00:01:42.140;;;;40
102.17;00:01:42.170;;;;39
102.17;00:01:42.170;;;;10
102.22;00:01:42.220;;;;59
102.28;00:01:42.280;;;;60
102.28;00:01:42.280;;;;60
102.31;00:01:42.310;;;;50
102.31;00:01:42.310;;;;49
102.39;00:01:42.390;;;;100
102.39;00:01:42.390;;;;100
102.42;00:01:42.420;;;;40
102.42;00:01:42.420;;;;39
102.51;00:01:42.510;;;;100
102.51;00:01:42.510;;;;99
102.57;00:01:42.570;;;;79
102.57;00:01:42.570;;;;21
102.63;00:01:42.630;;;;30
102.63;00:01:42.630;;;;30
102.65;00:01:42.650;;;;29
102.65;00:01:42.650;;;;29
102.75;00:01:42.750;;;;50
102.78;00:01:42.780;;;;30
102.78;00:01:42.780;;;;29
102.83;00:01:42.830;;;;30
102.83;00:01:42.830;;;;29
102.91;00:01:42.910;;;;79
102.97;00:01:42.970;;;;60
102.97;00:01:42.970;;;;59
103.00;00:01:43.000;;;;40
103.00;00:01:43.000;;;;39
103.08;00:01:43.080;;;;100
103.08;00:01:43.080;;;;99
103.14;00:01:43.140;;;;80
103.14;00:01:43.140;;;;20
103.20;00:01:43.200;;;;20
103.20;00:01:43.200;;;;19
103.35;00:01:43.350;;;;20
104.00;00:01:44.000;;;;13
104.03;00:01:44.030;;;;19
104.06;00:01:44.060;;;;20
104.62;00:01:44.620;;;;6
104.65;00:01:44.650;;;;28
104.65;00:01:44.650;;;;29
104.71;00:01:44.710;;;;30
104.75;00:01:44.750;;;;19
104.80;00:01:44.800;;;;9
105.22;00:01:45.220;;;;9
105.25;00:01:45.250;;;;9
105.44;00:01:45.440;;;;30
106.07;00:01:46.070;;;;20
106.80;00:01:46.800;;;;10
108.32;00:01:48.320;;;;11
108.97;00:01:48.970;;;;14
109.00;00:01:49.000;;;;10
109.03;00:01:49.030;;;;10
109.03;00:01:49.030;;;;10
109.06;00:01:49.060;;;;9
109.63;00:01:49.630;;;;25
109.63;00:01:49.630;;;;2
109.71;00:01:49.710;;;;20
109.73;00:01:49.730;;;;10
110.38;00:01:50.380;;;;30
110.98;00:01:50.980;;;;10
111.74;00:01:51.740;;;;29
111.81;00:01:51.810;;;;19
111.86;00:01:51.860;;;;20
112.28;00:01:52.280;;;;30
112.38;00:01:52.380;;;;30
112.38;00:01:52.380;;;;30
112.41;00:01:52.410;;;;10
112.49;00:01:52.490;;;;30
112.55;00:01:52.550;;;;30
112.55;00:01:52.550;;;;30
112.60;00:01:52.600;;;;20
112.60;00:01:52.600;;;;20
113.01;00:01:53.010;;;;30
113.04;00:01:53.040;;;;30
113.04;00:01:53.040;;;;30
113.07;00:01:53.070;;;;40
113.12;00:01:53.120;;;;10
113.14;00:01:53.140;;;;10
113.19;00:01:53.190;;;;31
113.25;00:01:53.250;;;;20
113.25;00:01:53.250;;;;20
113.27;00:01:53.270;;;;10
113.29;00:01:53.290;;;;10
113.32;00:01:53.320;;;;20
113.42;00:01:53.420;;;;20
113.45;00:01:53.450;;;;19
113.47;00:01:53.470;;;;10
113.50;00:01:53.500;;;;10
113.56;00:01:53.560;;;;20
113.58;00:01:53.580;;;;9
113.61;00:01:53.610;;;;10
113.66;00:01:53.660;;;;30
113.75;00:01:53.750;;;;10
113.78;00:01:53.780;;;;10
113.83;00:01:53.830;;;;20
113.83;00:01:53.830;;;;20
113.86;00:01:53.860;;;;20
113.89;00:01:53.890;;;;30
113.89;00:01:53.890;;;;11
113.93;00:01:53.930;;;;21
113.95;00:01:53.950;;;;11
113.95;00:01:53.950;;;;11
113.98;00:01:53.980;;;;24
113.98;00:01:53.980;;;;10
114.01;00:01:54.010;;;;39
114.01;00:01:54.010;;;;10
114.09;00:01:54.090;;;;30
114.09;00:01:54.090;;;;30
114.12;00:01:54.120;;;;10
114.16;00:01:54.160;;;;20
114.19;00:01:54.190;;;;20
114.19;00:01:54.190;;;;21
114.24;00:01:54.240;;;;20
114.29;00:01:54.290;;;;10
114.29;00:01:54.290;;;;10
114.32;00:01:54.320;;;;11
114.32;00:01:54.320;;;;11
114.41;00:01:54.410;;;;20
114.41;00:01:54.410;;;;20
114.44;00:01:54.440;;;;20
114.44;00:01:54.440;;;;20
114.52;00:01:54.520;;;;10
114.52;00:01:54.520;;;;10
114.60;00:01:54.600;;;;30
114.60;00:01:54.600;;;;30
114.65;00:01:54.650;;;;20
114.65;00:01:54.650;;;;20
114.67;00:01:54.670;;;;21
114.67;00:01:54.670;;;;21
114.72;00:01:54.720;;;;9
114.77;00:01:54.770;;;;20
114.80;00:01:54.800;;;;20
114.80;00:01:54.800;;;;21
114.85;00:01:54.850;;;;20
114.85;00:01:54.850;;;;20
114.93;00:01:54.930;;;;20
114.98;00:01:54.980;;;;10
114.98;00:01:54.980;;;;10
115.01;00:01:55.010;;;;10
115.01;00:01:55.010;;;;10
115.09;00:01:55.090;;;;10
115.09;00:01:55.090;;;;10
115.17;00:01:55.170;;;;30
115.17;00:01:55.170;;;;30
115.22;00:01:55.220;;;;20
115.22;00:01:55.220;;;;20
115.25;00:01:55.250;;;;39
116.08;00:01:56.080;;;;20
116.66;00:01:56.660;;;;10
116.83;00:01:56.830;;;;30
117.27;00:01:57.270;;;;20
117.45;00:01:57.450;;;;10
118.10;00:01:58.100;;;;30
118.32;00:01:58.320;;;;17
118.82;00:01:58.820;;;;20
119.00;00:01:59.000;;;;12
119.00;00:01:59.000;;;;13
119.03;00:01:59.030;;;;41
119.09;00:01:59.090;;;;29
119.76;00:01:59.760;;;;29
119.79;00:01:59.790;;;;28
121.00;00:02:1.000;;;;29
121.04;00:02:1.040;;;;9
121.07;00:02:1.069;;;;10
121.64;00:02:1.640;;;;8
121.64;00:02:1.640;;;;8
121.72;00:02:1.720;;;;10
121.75;00:02:1.750;;;;20
121.97;00:02:1.970;;;;1
123.75;00:02:3.750;;;;10
123.84;00:02:3.840;;;;30
123.87;00:02:3.870;;;;10
123.98;00:02:3.980;;;;17
124.01;00:02:4.010;;;;29
124.30;00:02:4.300;;;;20
124.39;00:02:4.390;;;;10
124.39;00:02:4.390;;;;10
124.44;00:02:4.440;;;;30
124.52;00:02:4.520;;;;30
124.58;00:02:4.580;;;;30
124.58;00:02:4.580;;;;31
124.60;00:02:4.599;;;;3
124.60;00:02:4.599;;;;3
124.65;00:02:4.650;;;;14
124.77;00:02:4.770;;;;29
124.83;00:02:4.830;;;;28
124.83;00:02:4.830;;;;28
125.04;00:02:5.040;;;;30
125.06;00:02:5.060;;;;20
125.06;00:02:5.060;;;;20
125.09;00:02:5.090;;;;20
125.15;00:02:5.150;;;;31
125.15;00:02:5.150;;;;12
125.22;00:02:5.220;;;;8
125.27;00:02:5.270;;;;20
125.27;00:02:5.270;;;;20
125.30;00:02:5.300;;;;30
125.30;00:02:5.300;;;;11
125.45;00:02:5.450;;;;30
125.47;00:02:5.470;;;;20
125.50;00:02:5.500;;;;30
125.52;00:02:5.520;;;;20
125.57;00:02:5.569;;;;10
125.60;00:02:5.599;;;;20
125.62;00:02:5.620;;;;10
125.67;00:02:5.670;;;;10
125.77;00:02:5.770;;;;20
125.80;00:02:5.800;;;;20
125.86;00:02:5.860;;;;30
125.86;00:02:5.860;;;;30
125.88;00:02:5.880;;;;20
125.91;00:02:5.910;;;;20
125.91;00:02:5.910;;;;20
125.94;00:02:5.940;;;;9
125.97;00:02:5.970;;;;19
125.97;00:02:5.970;;;;19
126.03;00:02:6.030;;;;19
126.11;00:02:6.110;;;;20
126.14;00:02:6.140;;;;20
126.17;00:02:6.170;;;;9
126.20;00:02:6.200;;;;10
126.20;00:02:6.200;;;;9
126.25;00:02:6.250;;;;10
126.30;00:02:6.300;;;;10
126.30;00:02:6.300;;;;10
126.35;00:02:6.349;;;;30
126.35;00:02:6.349;;;;30
126.42;00:02:6.420;;;;10
126.42;00:02:6.420;;;;10
126.45;00:02:6.450;;;;10
126.45;00:02:6.450;;;;10
126.53;00:02:6.530;;;;10
126.53;00:02:6.530;;;;10
126.61;00:02:6.610;;;;10
126.61;00:02:6.610;;;;10
126.67;00:02:6.670;;;;20
126.67;00:02:6.670;;;;20
126.70;00:02:6.700;;;;29
126.70;00:02:6.700;;;;29
126.79;00:02:6.790;;;;20
126.82;00:02:6.819;;;;20
126.82;00:02:6.819;;;;20
126.87;00:02:6.870;;;;20
126.87;00:02:6.870;;;;20
126.95;00:02:6.950;;;;20
127.01;00:02:7.010;;;;30
127.01;00:02:7.010;;;;30
127.04;00:02:7.040;;;;30
127.04;00:02:7.040;;;;30
127.10;00:02:7.099;;;;10
127.10;00:02:7.099;;;;10
127.18;00:02:7.180;;;;10
127.18;00:02:7.180;;;;10
127.23;00:02:7.230;;;;10
127.23;00:02:7.230;;;;10
127.26;00:02:7.260;;;;10
128.10;00:02:8.099;;;;20
128.84;00:02:8.840;;;;10
129.02;00:02:9.020;;;;9
129.64;00:02:9.639;;;;10
129.75;00:02:9.750;;;;29
129.80;00:02:9.800;;;;19
129.80;00:02:9.800;;;;19
129.83;00:02:9.830;;;;48
130.11;00:02:10.110;;;;10
130.25;00:02:10.250;;;;29
130.34;00:02:10.340;;;;20
131.01;00:02:11.010;;;;10
131.01;00:02:11.010;;;;10
131.10;00:02:11.100;;;;10
131.79;00:02:11.790;;;;30
133.06;00:02:13.060;;;;20
133.66;00:02:13.660;;;;20
133.66;00:02:13.660;;;;20
133.74;00:02:13.740;;;;20
133.76;00:02:13.760;;;;10
133.79;00:02:13.790;;;;29
133.98;00:02:13.980;;;;7
134.05;00:02:14.050;;;;30
134.75;00:02:14.750;;;;18
134.84;00:02:14.840;;;;20
135.25;00:02:15.250;;;;29
135.76;00:02:15.760;;;;10
135.86;00:02:15.860;;;;20
135.89;00:02:15.890;;;;20
136.01;00:02:16.010;;;;30
136.41;00:02:16.410;;;;20
136.41;00:02:16.410;;;;20
136.46;00:02:16.460;;;;20
136.53;00:02:16.530;;;;10
136.61;00:02:16.610;;;;30
136.63;00:02:16.630;;;;49
136.63;00:02:16.630;;;;29
136.66;00:02:16.660;;;;57
137.07;00:02:17.070;;;;11
137.10;00:02:17.100;;;;39
137.10;00:02:17.100;;;;11
137.18;00:02:17.180;;;;29
137.18;00:02:17.180;;;;29
137.28;00:02:17.280;;;;10
137.28;00:02:17.280;;;;10
137.32;00:02:17.320;;;;20
137.32;00:02:17.320;;;;20
137.48;00:02:17.480;;;;30
137.48;00:02:17.480;;;;11
137.51;00:02:17.510;;;;10
137.53;00:02:17.530;;;;10
137.59;00:02:17.590;;;;20
137.62;00:02:17.620;;;;20
137.65;00:02:17.650;;;;30
137.70;00:02:17.700;;;;30
137.79;00:02:17.790;;;;20
137.82;00:02:17.820;;;;20
137.88;00:02:17.880;;;;20
137.88;00:02:17.880;;;;20
137.90;00:02:17.900;;;;20
137.93;00:02:17.930;;;;20
137.93;00:02:17.930;;;;20
137.96;00:02:17.960;;;;20
137.99;00:02:17.990;;;;20
137.99;00:02:17.990;;;;20
138.04;00:02:18.040;;;;10
138.14;00:02:18.140;;;;30
138.16;00:02:18.160;;;;20
138.19;00:02:18.190;;;;20
138.22;00:02:18.220;;;;20
138.22;00:02:18.220;;;;21
138.27;00:02:18.270;;;;20
138.30;00:02:18.300;;;;3
138.30;00:02:18.300;;;;3
138.36;00:02:18.360;;;;11
138.36;00:02:18.360;;;;11
138.45;00:02:18.450;;;;30
138.45;00:02:18.450;;;;30
138.48;00:02:18.480;;;;31
138.48;00:02:18.480;;;;31
138.54;00:02:18.540;;;;10
138.54;00:02:18.540;;;;10
138.62;00:02:18.620;;;;10
138.62;00:02:18.620;;;;11
138.69;00:02:18.690;;;;20
138.69;00:02:18.690;;;;20
138.71;00:02:18.710;;;;10
138.71;00:02:18.710;;;;10
138.82;00:02:18.820;;;;30
138.85;00:02:18.850;;;;30
138.85;00:02:18.850;;;;30
138.88;00:02:18.880;;;;10
138.88;00:02:18.880;;;;10
138.96;00:02:18.960;;;;18
138.96;00:02:18.960;;;;11
138.99;00:02:18.990;;;;1
139.02;00:02:19.020;;;;11
139.02;00:02:19.020;;;;11
139.05;00:02:19.050;;;;10
139.05;00:02:19.050;;;;10
139.11;00:02:19.110;;;;11
139.11;00:02:19.110;;;;11
139.19;00:02:19.190;;;;10
139.19;00:02:19.190;;;;10
139.25;00:02:19.250;;;;20
139.25;00:02:19.250;;;;20
139.27;00:02:19.270;;;;10
139.67;00:02:19.670;;;;18
139.70;00:02:19.700;;;;18
139.75;00:02:19.750;;;;9
139.82;00:02:19.820;;;;19
140.11;00:02:20.110;;;;10
140.21;00:02:20.210;;;;22
