Chrono;Time;MIDS Status;DLIP Saturation;TDH029;retard (ms)
70.3895;00:01:10.389;;;;11
70.3900;00:01:10.390;;;;11
70.3964;00:01:10.396;;;;18
70.3967;00:01:10.396;;;;18
70.4089;00:01:10.408;;;;30
70.4092;00:01:10.409;;;;30
70.4161;00:01:10.416;;;;37
70.4164;00:01:10.416;;;;37
70.4290;00:01:10.429;;;;50
70.4292;00:01:10.429;;;;49
70.4362;00:01:10.436;;;;57
70.4365;00:01:10.436;;;;57
70.4490;00:01:10.449;;;;69
70.4492;00:01:10.449;;;;69
70.4563;00:01:10.456;;;;76
70.4566;00:01:10.456;;;;76
70.4690;00:01:10.469;;;;89
70.4693;00:01:10.469;;;;89
70.4763;00:01:10.476;;;;96
70.4765;00:01:10.476;;;;96
70.4893;00:01:10.489;;;;108
70.4897;00:01:10.489;;;;108
70.4965;00:01:10.496;;;;116
70.4968;00:01:10.496;;;;116
70.5094;00:01:10.509;;;;128
70.5100;00:01:10.510;;;;128
70.5165;00:01:10.516;;;;135
70.5170;00:01:10.517;;;;135
70.5295;00:01:10.529;;;;148
70.5299;00:01:10.529;;;;148
70.5366;00:01:10.536;;;;155
70.5371;00:01:10.537;;;;155
70.5496;00:01:10.549;;;;167
70.5501;00:01:10.550;;;;167
70.5571;00:01:10.557;;;;175
70.5575;00:01:10.557;;;;175
70.5697;00:01:10.569;;;;187
70.5701;00:01:10.570;;;;187
70.5767;00:01:10.576;;;;194
70.5771;00:01:10.577;;;;194
70.5897;00:01:10.589;;;;206
70.5902;00:01:10.590;;;;206
70.5968;00:01:10.596;;;;213
70.5971;00:01:10.597;;;;213
70.6098;00:01:10.609;;;;226
70.6102;00:01:10.610;;;;226
70.6167;00:01:10.616;;;;233
70.6170;00:01:10.617;;;;233
70.6298;00:01:10.629;;;;245
70.6302;00:01:10.630;;;;245
70.6369;00:01:10.636;;;;253
70.6373;00:01:10.637;;;;253
70.6500;00:01:10.650;;;;265
70.6505;00:01:10.650;;;;265
70.6569;00:01:10.656;;;;272
70.6574;00:01:10.657;;;;272
70.6700;00:01:10.670;;;;285
70.6705;00:01:10.670;;;;285
70.6771;00:01:10.677;;;;292
70.6775;00:01:10.677;;;;292
70.6901;00:01:10.690;;;;304
70.6906;00:01:10.690;;;;304
70.6971;00:01:10.697;;;;311
70.6975;00:01:10.697;;;;311
70.7102;00:01:10.710;;;;324
70.7107;00:01:10.710;;;;324
70.7171;00:01:10.717;;;;331
70.7175;00:01:10.717;;;;331
70.7303;00:01:10.730;;;;343
70.7307;00:01:10.730;;;;343
70.7372;00:01:10.737;;;;350
70.7376;00:01:10.737;;;;350
70.7504;00:01:10.750;;;;363
70.7508;00:01:10.750;;;;363
70.7573;00:01:10.757;;;;370
70.7576;00:01:10.757;;;;370
70.7707;00:01:10.770;;;;383
70.7711;00:01:10.771;;;;383
70.7777;00:01:10.777;;;;390
70.7783;00:01:10.778;;;;390
70.7910;00:01:10.791;;;;402
70.7914;00:01:10.791;;;;401
70.7974;00:01:10.797;;;;409
70.7978;00:01:10.797;;;;407
70.8107;00:01:10.810;;;;420
70.8110;00:01:10.811;;;;420
70.8175;00:01:10.817;;;;427
70.8178;00:01:10.817;;;;427
70.8306;00:01:10.830;;;;439
70.8310;00:01:10.831;;;;439
70.8376;00:01:10.837;;;;446
70.8380;00:01:10.838;;;;447
70.8508;00:01:10.850;;;;459
70.8512;00:01:10.851;;;;459
70.8576;00:01:10.857;;;;466
70.8580;00:01:10.858;;;;466
70.8709;00:01:10.870;;;;478
70.8713;00:01:10.871;;;;479
70.8777;00:01:10.877;;;;485
70.8781;00:01:10.878;;;;486
70.8910;00:01:10.891;;;;498
70.8914;00:01:10.891;;;;498
70.8977;00:01:10.897;;;;505
70.8982;00:01:10.898;;;;505
70.9110;00:01:10.911;;;;518
70.9115;00:01:10.911;;;;518
70.9177;00:01:10.917;;;;524
70.9181;00:01:10.918;;;;525
70.9311;00:01:10.931;;;;537
70.9316;00:01:10.931;;;;537
70.9378;00:01:10.937;;;;544
70.9381;00:01:10.938;;;;544
70.9512;00:01:10.951;;;;556
70.9517;00:01:10.951;;;;557
70.9578;00:01:10.957;;;;563
70.9581;00:01:10.958;;;;563
70.9713;00:01:10.971;;;;576
70.9718;00:01:10.971;;;;576
70.9779;00:01:10.977;;;;583
70.9782;00:01:10.978;;;;583
70.9914;00:01:10.991;;;;596
70.9918;00:01:10.991;;;;595
70.9979;00:01:10.997;;;;602
70.9982;00:01:10.998;;;;601
71.0115;00:01:11.011;;;;614
71.0119;00:01:11.011;;;;615
71.0179;00:01:11.017;;;;621
71.0183;00:01:11.018;;;;621
71.0317;00:01:11.031;;;;634
71.0322;00:01:11.032;;;;635
71.0382;00:01:11.038;;;;641
71.0386;00:01:11.038;;;;641
71.0518;00:01:11.051;;;;654
71.0524;00:01:11.052;;;;654
71.0581;00:01:11.058;;;;660
71.0585;00:01:11.058;;;;661
71.0720;00:01:11.072;;;;674
71.0726;00:01:11.072;;;;674
71.0787;00:01:11.078;;;;681
71.0794;00:01:11.079;;;;681
71.0918;00:01:11.091;;;;693
