&6_car_min;(6 caractŠres minimum);(6 char min);(6 car. minimum)
&Action_Non_Effectuee;Pas d'action effectu‚e;No Action performed;no azione effettuata
&Action_OTAR_NOK;Pas d'action OTAR;No OTAR Action;No azione OTAR
&Action_OTAR_OK;Action OTAR;OTAR Action;Azione OTAR
&Activate;Activate;Activate;Attiva
&Activation_Set_M;Activation Set;Set Activation;Attivazione Set
&ActivationTSRD;Activation enregistrement TSRD;TSRD Recording;Attivazione registrazione TSRD
&ACTIVE;Activ‚;Activated;attivato
&ActiverTSRD_M;Activer enregistrement TSRD;Start TSRD Recording;Inizio registrazione TSRD
&Add;Add;Add;Aggiungere
&Adresse;Adresse;Address;Indirizzo
&AffAllTracks;Afficher toutes les unit‚s;Display all JU;Visualizzare tutte le unità 
&Affectation;Location;Location;Localizzazione
&Affectation_Des_Clefs;Affectation des clefs;Key allocation;Allocazione chiave
&Aide;Aide;Help;Aiuto
&Aide_M;Aide;Help;Aiuto
&AIDE_OSIM;Aide OSIM;OSIM Help;Aiuto OSIM
&Alarmes;Alarmes;Alarms;Allarmi
&ALARME_JDB;ALARME;ALARM;ALLARME
&Ancien_mdp;Ancien Mot de Passe :;Old password : ;Vecchia password
&ANNULATION_TCDE;Annulation T‚l‚commande;Remote control cancelled;Telecomando cancellato
&Annuler;Annuler;Cancel;Cancellare
&Antennes;Antennes;Antennas;Antenne
&Antennes_Cables_M;Antennes & Cƒbles;Antennas & Cables;Antenne & cavi
&APP_Heure_MIDS_reelle;Heure MIDS;MIDS Time;Ora MIDS
&APP_Heure_MIDS_sim;Heure MIDS estim‚e;Estimated MIDS Time;Ora MIDS stimata
&ARCHIVAGE_KO;Archivage KO;Recording NOK;Registrazione NOK
&Archivage_M;Archivage;Recording;Registrazione
&ArchiverTSDF_M;Activer enregistrement TSDF;Activate TSDF recording;Attivare registrazione TSDF
&Arret_BIT_M;Arrˆt BIT;Stop BIT;Sospendere BIT
&ArreterEnregistrement;Arrˆter Enregistrement;Stop Recording;Sospendere registrazione
&ATTENDRE_MAP;Chargement de la carte en cours...;Loading map,,,;Caricamento della mappa in corso
&AUCUN_FICHIER;aucun fichier;no file;no file
&Autre_fic_sav;Autre fichier;Other file;Altro file
&Avertissement_Action_Effectuee;Avertissement d'une action effectu‚e;Performed action warning;avviso azione effetuata
&BIT_Messages_M;BIT et Messages;BIT and Messages;BIT e messaggi
&Canal_A;Phonie A;Voice A;Voce A
&Canal_B;Phonie B;Voice B;Voce B
&Canal_de_controle;PG Contr“le;PG Control;PG Controllo
&CENTRE;Centre;Center;Centro
&CHAINE_RECHERCHEE_VIDE;la chaŒne de caractŠres\nrecherch‚e est vide.;String empty;Catena di caratteri vuota
&ChaineL16;ChaŒne L16;L16 System;Catena L16
&Changement_mdp;Changement du mot de passe;Password Change;Cambio password
&Changer_mdp;Changer mot de passe;Modify Password;Modificare  password
&ChangerMdP_M;Changer mot de passe;Modify Password;Modificare  password
&CHAR_NOT_ALLOWED;Un nom de fichier ne peut contenir aucun des caractŠres suivants : \n\\ / : * ? \;Following extended characters are not supported for filename : \n\\ / : * ? \;"Un nome del file non può contenere seguenti caratteri: \n\\ / : * ? \""< > |"
&Chargement_Fichier_M;Chargement d'un set;Set Loading;Caricamento di un set
&Charte_graphique;Charte graphique;Graphic Legend;Leggenda grafica
&Charte_graphique_M;Charte graphique;Graphic Legend;Leggenda grafica
&CHGT_MDP;Changement du mot de passe;Password Change;Cambio password
&COMMANDE;Commande;Command;Comando
&COMMANDE_CONF_MIDS;Commande configuration MIDS;MIDS configuration command;Comando configurazione MIDS
&COMMANDE_KO;Fin Commande KO;End of command NOK;Fine del comando NOK
&COMMANDE_OK;Fin Commande OK;End of command OK;Fine del comando OK
&COMMANDE_QUITTER;Commande Quitter;Quit command;Comando di uscita
&COMMANDE_X;Commande %s;Command %s;Comando %s
&Commandes;Commandes;Commands;Comandi
&Commandes_M;Commandes;Commands;Comandi
&Compteur_Horaire;Compteur Horaire (H);Hour(s) counter;Conto ore
&CONF_MIDS_DATA_EN_CRS;Configuration MIDS … partir des donn‚es courantes;MIDS configuration from the current data;Configurazione MIDS da dati attuali
&CONF_MIDS_FIC_CONF_DEF;Configuration MIDS … partir d'un fichier de configuration pr‚d‚fini;MIDS configuration from a pre-defined configuration file;Configurazione MIDS da un file di configurazione predefinito
&CONF_MIDS_FIC_INIT;Configuration du MIDS … partir d'un fichier d'intialisation;MIDS configuration from an initialisation data file;Configurazione MIDS da un file di inizializzazione
&CONF_MIDS_FIC_RECENT;Configuration MIDS … partir du fichier de configuration le plus r‚cent;MIDS configuration from the more recent configuration file;Configurazione MIDS dal  file di configurazione più recente
&CONFIRM_INCORRECTE;confirmation incorrecte;Incorrect confirmation;Conferma non coretta
&CONFIRM_NON_FAITE;confirmation non effectu‚e;confirmation not completed;Conferma non effetuata
&CONFIRM_REMPLACEMENT;Confirmez-vous son remplacement?;Do you confirm the replacement?;Sei sicuro della sostituzione?
&CONFIRM_TRANS_BLK_DATA;Confirmer le transfert du bloc de donn‚es pr‚sent‚ dans la fenˆtre;Confirm the transfer of the displayed block of data;Confermare il trasferimento del blocco dati visualizzato
