&6_car_min;(6 caractères minimum);(6 char min);(6 car min)
&Action_Non_Effectuee;Pas d'action effectuée;No Action performed;(no azione effettuata)
&Action_OTAR_NOK;Pas d'action OTAR;No OTAR Action;No azione OTAR
&Action_OTAR_OK;Action OTAR;OTAR Action;Azione OTAR
&Activate;Activate;Activate;Attiva
&Activation_Set_M;Activation Set;Set Activation;Attivazione Set
&ActivationTSRD;Activation enregistrement TSRD;TSRD Recording;Attivazione registrazione TSRD
&ACTIVE;Activé;Activated;attivato
&ActiverTSRD_M;Activer enregistrement TSRD;Start TSRD Recording;Inizio registrazione TSRD
&Add;Add;Add;Aggiungere
&Adresse;Adresse;Address;Indirizzo
&AffAllTracks;Afficher toutes les unités;Display all JU;Visualizzare tutte le unità
&Affectation;Location;Location;Localizzazione
&Affectation_Des_Clefs;Affectation des clefs;Key allocation;Allocazione chiave
&Aide;Aide;Help;Aiuto
&Aide_M;Aide;Help;Aiuto
&AIDE_OSIM;Aide OSIM;OSIM Help;Aiuto OSIM
&Alarmes;Alarmes;Alarms;Allarmi
&ALARME_JDB;ALARME;ALARM;ALLARME
&Ancien_mdp;Ancien Mot de Passe :;Old password : ;Vecchia password
&ANNULATION_TCDE;Annulation Télécommande;Remote control cancelled;Telecomando cancellato
&Annuler;Annuler;Cancel;Cancellare
&Antennes;Antennes;Antennas;Antenne
&Antennes_Cables_M;Antennes & Câbles;Antennas & Cables;Antenne & cavi
&APP_Heure_MIDS_reelle;Heure MIDS;MIDS Time;Ora MIDS
&APP_Heure_MIDS_sim;Heure MIDS estimée;Estimated MIDS Time;Ora MIDS stimata
&ARCHIVAGE_KO;Archivage KO;Recording NOK;Registrazione NOK
&Archivage_M;Archivage;Recording;Registrazione
&ArchiverTSDF_M;Activer enregistrement TSDF;Activate TSDF recording;Attivare registrazione TSDF
&Arret_BIT_M;Arrêt BIT;Stop BIT;Sospendere BIT
&ArreterEnregistrement;Arrêter Enregistrement;Stop Recording;Sospendere registrazione
&ATTENDRE_MAP;Chargement de la carte en cours...;Loading map,,,;Caricamento della mappa in corso
&AUCUN_FICHIER;aucun fichier;no file;no file
&Autre_fic_sav;Autre fichier;Other file;Altro file
&Avertissement_Action_Effectuee;Avertissement d'une action effectuée;Performed action warning;avviso azione effetuata
&BIT_Messages_M;BIT et Messages;BIT and Messages;BIT e messaggi
&Canal_A;Phonie A;Voice A;Voce A
&Canal_B;Phonie B;Voice B;Voce B
&Canal_de_controle;PG Contrôle;PG Control;PG Controllo
&CENTRE;Centre;Center;Centro
&CHAINE_RECHERCHEE_VIDE;la chaîne de caractères\nrecherchée est vide.;String empty;Catena di caratteri vuota
&ChaineL16;Chaîne L16;L16 System;Catena L16
&Changement_mdp;Changement du mot de passe;Password Change;Cambio password
&Changer_mdp;Changer mot de passe;Modify Password;Modificare  password
&ChangerMdP_M;Changer mot de passe;Modify Password;Modificare  password
&CHAR_NOT_ALLOWED;Un nom de fichier ne peut contenir aucun des caractères suivants : \n\\ / : * ? \;Following extended characters are not supported for filename : \n\\ / : * ? \;Un nome del file non può contenere seguenti caratteri: \n\\ / : * ? \
&Chargement_Fichier_M;Chargement d'un set;Set Loading;Caricamento di un set
&Charte_graphique;Charte graphique;Graphic Legend;Leggenda grafica
&Charte_graphique_M;Charte graphique;Graphic Legend;Leggenda grafica
&CHGT_MDP;Changement du mot de passe;Password Change;Cambio password
&COMMANDE;Commande;Command;Comando
&COMMANDE_CONF_MIDS;Commande configuration MIDS;MIDS configuration command;Comando configurazione MIDS
&COMMANDE_KO;Fin Commande KO;End of command NOK;Fine del comando NOK
&COMMANDE_OK;Fin Commande OK;End of command OK;Fine del comando OK
&COMMANDE_QUITTER;Commande Quitter;Quit command;Comando di uscita
&COMMANDE_X;Commande %s;Command %s;Comando %i
&Commandes;Commandes;Commands;Comandi
&Commandes_M;Commandes;Commands;Comandi
&Compteur_Horaire;Compteur Horaire (H);Hour(s) counter;Conto ore
&CONF_MIDS_DATA_EN_CRS;Configuration MIDS à partir des données courantes;MIDS configuration from the current data;Configurazione MIDS da dati attuali
&CONF_MIDS_FIC_CONF_DEF;Configuration MIDS à partir d'un fichier de configuration prédéfini;MIDS configuration from a pre-defined configuration file;Configurazione MIDS da un file di configurazione predefinito
